Date,Open,High,Low,Close,Adj Close,Volume
2023-09-13,124.480003,124.734001,124.431396,124.690002,124.690002,87849
2023-09-14,124.739998,124.930000,124.620003,124.750000,124.750000,31571
2023-09-15,124.849998,124.849998,124.379997,124.735001,124.735001,56320
2023-09-18,124.730003,124.730003,124.510002,124.629997,124.629997,38238
2023-09-19,124.690002,124.769997,124.610001,124.750000,124.750000,72697
2023-09-20,124.779999,125.209999,124.779999,125.154999,125.154999,42417
2023-09-21,125.070000,125.190002,124.949997,125.135002,125.135002,42012
2023-09-22,125.150002,125.339996,124.989403,125.300003,125.300003,20916
2023-09-25,125.320000,125.339996,125.169998,125.290001,125.290001,38551
2023-09-26,125.120003,125.430000,125.120003,125.330002,125.330002,28457
2023-09-27,125.279999,125.400002,125.070000,125.089996,125.089996,34284
2023-09-28,125.110001,125.120003,124.677902,124.785004,124.785004,30329
2023-09-29,125.059998,125.160004,124.919998,125.019997,125.019997,25819
2023-10-02,125.029999,125.050003,124.809998,124.860001,124.860001,25950
2023-10-03,124.930000,125.031601,124.820000,124.839996,124.839996,29419
2023-10-04,124.680000,124.938469,124.570000,124.864998,124.864998,23850
2023-10-05,124.940002,125.212608,124.836098,125.095001,125.095001,17892
2023-10-06,125.129997,125.139999,124.949997,125.080002,125.080002,25452
2023-10-09,124.779999,125.290001,124.779999,125.300003,125.300003,20088
2023-10-10,125.480003,125.480003,125.120003,125.449997,125.449997,18368
2023-10-11,125.470001,125.580002,125.349998,125.449997,125.449997,15338
2023-10-12,125.320000,125.557297,125.260002,125.260002,125.260002,18756
2023-10-13,125.300003,125.500000,125.269997,125.400002,125.400002,21847
2023-10-16,124.000000,125.279999,123.734619,125.209999,125.209999,52150
2023-10-17,125.190002,125.320000,125.110001,125.195000,125.195000,27862
2023-10-18,125.220001,125.220001,124.839996,124.879997,124.879997,16160
2023-10-19,124.989998,124.989998,124.720001,124.860001,124.860001,48242
2023-10-20,124.980003,125.169998,124.949997,125.160004,125.160004,41908
2023-10-23,125.120003,125.300003,124.989998,125.290001,125.290001,22520
2023-10-24,125.459999,125.570000,125.309998,125.470001,125.470001,27173
2023-10-25,125.529999,125.546204,125.279999,125.330002,125.330002,29869
2023-10-26,125.320000,125.599998,125.290001,125.410004,125.410004,13379
2023-10-27,125.599998,125.696800,125.480003,125.665001,125.665001,19582
2023-10-30,125.839996,125.839996,125.519997,125.610001,125.610001,25700
2023-10-31,125.730003,125.830002,125.610001,125.610001,125.610001,20456
2023-11-01,125.480003,125.820000,125.480003,125.690002,125.690002,28734
2023-11-02,125.779999,126.129997,125.669998,125.919998,125.919998,30334
2023-11-03,125.750000,126.250000,125.750000,126.160004,126.160004,21640
2023-11-06,126.180000,126.180000,126.000000,126.010002,126.010002,45322
2023-11-07,126.489998,126.489998,126.068398,126.250000,126.250000,19034
2023-11-08,126.220001,126.405602,126.167503,126.294998,126.294998,18107
2023-11-09,126.320000,126.419998,126.160004,126.285004,126.285004,44259
2023-11-10,126.209999,126.260002,126.150002,126.150002,126.150002,26285
2023-11-13,126.120003,126.250000,126.000000,126.129997,126.129997,15765
2023-11-14,126.099998,126.540001,126.050003,126.480003,126.480003,20596
2023-11-15,126.500000,126.650002,126.376602,126.419998,126.419998,16633
2023-11-16,126.701500,126.701500,126.701500,126.701500,126.701500,0
2023-11-17,126.820000,126.949997,126.650002,126.654999,126.654999,30807
2023-11-20,126.650002,126.720001,126.529999,126.720001,126.720001,35864
2023-11-21,126.720001,126.818298,126.639999,126.690002,126.690002,13375
2023-11-22,126.790001,126.790001,126.419998,126.419998,126.419998,30238
2023-11-23,126.500000,126.595802,126.196800,126.239998,126.239998,22932
2023-11-24,126.220001,126.279999,126.121696,126.230003,126.230003,28493
2023-11-27,125.989998,126.459999,125.989998,126.410004,126.410004,30140
2023-11-28,126.470001,126.642799,126.400002,126.629997,126.629997,32559
2023-11-29,126.489998,126.903702,126.489998,126.820000,126.820000,14928
2023-11-30,126.790001,126.874397,126.618698,126.650002,126.650002,24847
2023-12-01,126.709999,126.930000,126.660004,126.930000,126.930000,24726
2023-12-04,126.900002,126.900002,126.669998,126.675003,126.675003,18631
2023-12-05,126.800003,127.639999,126.769997,127.059998,127.059998,19079
2023-12-06,127.050003,127.260002,126.919998,127.089996,127.089996,33955
2023-12-07,127.029999,127.141998,126.709999,127.070000,127.070000,109137
2023-12-08,127.050003,127.120003,126.914902,126.970001,126.970001,25946
2023-12-11,126.900002,126.967499,126.769997,126.805000,126.805000,33879
2023-12-12,125.989998,127.190002,125.989998,127.120003,127.120003,34520
2023-12-13,127.300003,127.511398,127.198997,127.489998,127.489998,60466
2023-12-14,129.000000,129.000000,127.699997,127.769997,127.769997,36399
2023-12-15,127.709999,127.989998,127.610001,127.989998,127.989998,105537
2023-12-18,127.949997,128.080002,127.819901,127.879997,127.879997,170865
2023-12-19,128.039993,128.151001,127.940399,128.065002,128.065002,16099
2023-12-20,128.050003,128.580002,128.039993,128.520004,128.520004,24162
2023-12-21,128.910004,128.910004,128.500000,128.770004,128.770004,62686
2023-12-22,128.899994,128.899994,128.729996,128.869995,128.869995,9034
2023-12-27,128.990005,129.500000,128.300003,128.985001,128.985001,24128
2023-12-28,129.070007,129.102493,128.889999,128.994995,128.994995,16559
2023-12-29,128.960007,129.029999,128.850006,129.009995,129.009995,10040
